propertyCode,precio_anunciado,barrio_code,distrito_code,barrio_rescatado,sin_barrio,planta_imputada,ascensor_desde_descripcion,sin_descripcion,fuera_de_rango,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,precio_estimado_2018,indice_venta,precio_estimado,factor_renta_mensual,renta_mensual_estimada,tipologia_casa,superficie_fuera_de_dominio,a_reformar,ocupada,fuera_de_dominio,distrito,alquiler_distrito_eur_m2_2026,anunciado / estimado
111433413,750000.0,015,01,False,False,False,False,False,False,102.0,2,2,448609.88,1.558745921449614,699268.8129782712,0.0025264030793100585,1766.6348823737937,False,False,False,False,False,Centro,18.93916135071505,1.072548905485515
111396097,1385000.0,041,04,False,False,False,False,False,True,106.0,2,2,798716.1,1.8766123722225168,1498880.5620686263,0.0019512838033895418,2924.7413639799233,False,False,False,False,False,Salamanca,19.77461679945292,0.924022924207211
110593979,1215000.0,073,07,False,False,False,False,False,False,115.0,3,2,668048.3,1.6853880807988142,1125920.6632852615,0.002278740199336892,2565.6806766921827,False,False,False,False,False,Chamberí,19.980022301161203,1.0791168859578604
111761339,1800000.0,014,01,False,False,False,False,False,False,189.0,3,3,1.1063586e+06,1.558745921449614,1724531.994379353,0.0025264030793100585,4356.862940968714,False,False,False,False,False,Centro,18.93916135071505,1.0437614412876157
111405596,900000.0,046,04,False,False,False,False,False,True,59.0,1,1,385552.66,1.8766123722225168,723532.884862005,0.0019512838033895418,1411.8179994509405,False,False,False,False,False,Salamanca,19.77461679945292,1.2438964680529365
109995710,715000.0,075,07,False,False,False,False,False,False,108.0,2,2,615892.9,1.6853880807988142,1038018.5105739139,0.002278740199336892,2365.374507700584,False,False,False,False,False,Chamberí,19.980022301161203,0.6888123792750873
112159638,1395000.0,075,07,False,False,False,False,False,False,132.0,3,3,740741.7,1.6853880807988142,1248437.2110633,0.002278740199336892,2844.864059197978,False,False,False,False,False,Chamberí,19.980022301161203,1.117397004541279
111225215,1160000.0,161,16,False,False,False,False,False,False,156.0,3,2,664751.75,1.6317102565250337,1084682.248517965,0.0027028857740617703,2931.7722188965413,False,False,False,False,False,Hortaleza,14.589315759435864,1.0694376178691447
111582384,1850000.0,097,09,False,False,True,True,False,False,361.0,5,5,,1.656751140660718,,0.002672415723312596,,True,False,False,False,True,Moncloa-Aravaca,16.62527833062531,
106350283,3600000.0,042,04,False,False,False,False,False,False,379.0,5,4,,1.8766123722225168,,0.0019512838033895418,,False,True,False,False,True,Salamanca,19.77461679945292,
110490359,895000.0,043,04,False,False,False,False,False,False,155.0,3,3,740711.3,1.8766123722225168,1390028.013282679,0.0019512838033895418,2712.3391485762345,False,False,False,False,False,Salamanca,19.77461679945292,0.6438719158518074
111761206,2295000.0,045,04,False,False,False,False,False,False,183.0,3,4,1.2669569e+06,1.8766123722225168,2377586.9466973767,0.0019512838033895418,4639.346900240985,False,False,False,False,False,Salamanca,19.77461679945292,0.9652643842059718
107189198,2415000.0,045,04,True,False,False,False,False,False,304.0,5,3,1.3377471e+06,1.8766123722225168,2510432.8056801017,0.0019512838033895418,4898.566873221347,False,False,False,False,False,Salamanca,19.77461679945292,0.9619855168144013
110972125,920000.0,012,01,False,False,False,False,False,False,131.0,3,3,604402.25,1.558745921449614,942109.54210247,0.0025264030793100585,2380.1484482150695,False,False,False,False,False,Centro,18.93916135071505,0.9765318775424683
110011008,2250000.0,046,04,False,False,False,False,False,True,152.0,3,4,1.1935774e+06,1.8766123722225168,2239882.0691298745,0.0019512838033895418,4370.645602995778,False,False,False,False,False,Salamanca,19.77461679945292,1.0045171712428842
103883825,4950000.0,046,04,False,False,False,False,False,True,383.0,5,3,,1.8766123722225168,,0.0019512838033895418,,False,True,False,False,True,Salamanca,19.77461679945292,
111219810,4600000.0,035,03,False,False,False,False,False,False,222.0,2,2,1.2342111e+06,1.7929648066474984,2212897.1110978164,0.0021651669060346315,4791.291591408633,False,False,False,False,False,Retiro,17.253540940727106,2.0787229451069886
111379612,1100000.0,014,01,False,False,False,False,False,False,133.0,3,2,729354.2,1.558745921449614,1136877.865057822,0.0025264030793100585,2872.211739081527,False,False,False,False,False,Centro,18.93916135071505,0.9675621575621525
108505570,1950000.0,074,07,False,False,False,False,False,False,158.0,3,2,,1.6853880807988142,,0.002278740199336892,,False,False,True,False,True,Chamberí,19.980022301161203,
111109550,1890000.0,074,07,False,False,False,False,False,False,194.0,4,2,,1.6853880807988142,,0.002278740199336892,,False,False,True,False,True,Chamberí,19.980022301161203,
38041203,4750000.0,097,09,False,False,True,True,False,False,775.0,6,6,,1.656751140660718,,0.002672415723312596,,True,True,False,False,True,Moncloa-Aravaca,16.62527833062531,
110996137,1480000.0,076,07,False,False,False,False,False,False,212.0,5,3,881210.0,1.6853880807988142,1485180.830680723,0.002278740199336892,3384.3412621567218,False,False,False,False,False,Chamberí,19.980022301161203,0.9965116499124564
110413083,1050000.0,052,05,False,False,False,False,False,False,164.0,3,3,607712.9,1.6700715368729793,1014923.9751287467,0.0023384882833218804,2373.3878243010417,False,False,False,False,False,Chamartín,18.388855162033455,1.0345602485809873
112270818,1350000.0,042,04,False,False,False,False,False,False,131.0,3,2,703636.06,1.8766123722225168,1320452.140429436,0.0019512838033895418,2576.5768747710113,False,False,False,False,False,Salamanca,19.77461679945292,1.0223770772645757
112280203,4800000.0,042,04,False,False,False,False,False,False,225.0,3,3,1.3532954e+06,1.8766123722225168,2539610.8439965104,0.0019512838033895418,4955.501506802835,False,False,False,False,False,Salamanca,19.77461679945292,1.8900533565396114
