variable,tipo,n_nulos,cobertura_%
ASSETID,category,0,100.0
PRICE,float64,0,100.0
UNITPRICE,float64,0,100.0
CONSTRUCTEDAREA,Int32,0,100.0
ROOMNUMBER,Int32,0,100.0
BATHNUMBER,Int32,0,100.0
HASTERRACE,Int32,0,100.0
HASLIFT,Int32,0,100.0
HASAIRCONDITIONING,Int32,0,100.0
HASPARKINGSPACE,Int32,0,100.0
ISPARKINGSPACEINCLUDEDINPRICE,Int32,0,100.0
PARKINGSPACEPRICE,Int32,0,100.0
HASNORTHORIENTATION,Int32,0,100.0
HASSOUTHORIENTATION,Int32,0,100.0
HASEASTORIENTATION,Int32,0,100.0
HASWESTORIENTATION,Int32,0,100.0
HASBOXROOM,Int32,0,100.0
HASWARDROBE,Int32,0,100.0
HASSWIMMINGPOOL,Int32,0,100.0
HASDOORMAN,Int32,0,100.0
HASGARDEN,Int32,0,100.0
ISDUPLEX,Int32,0,100.0
ISSTUDIO,Int32,0,100.0
ISINTOPFLOOR,Int32,0,100.0
CONSTRUCTIONYEAR,Int32,45183,40.1
FLOORCLEAN,Int32,2975,96.1
CADCONSTRUCTIONYEAR,Int32,0,100.0
CADMAXBUILDINGFLOOR,Int32,0,100.0
CADDWELLINGCOUNT,Int32,0,100.0
CADASTRALQUALITYID,Int32,1,100.0
BUILTTYPEID_1,Int32,0,100.0
BUILTTYPEID_2,Int32,0,100.0
BUILTTYPEID_3,Int32,0,100.0
DISTANCE_TO_CITY_CENTER,float64,0,100.0
DISTANCE_TO_METRO,float64,0,100.0
DISTANCE_TO_CASTELLANA,float64,0,100.0
alq_mediana_eur_m2_barrio,float64,0,100.0
dist_centro_educativo_m,float64,0,100.0
dist_parque_m,float64,0,100.0
dist_espacio_deporte_m,float64,0,100.0
dist_centro_medico_m,float64,0,100.0
delitos_per_10k_barrio,float64,0,100.0
indice_vulnerabilidad,float64,0,100.0
