ASSETID;PRICE;UNITPRICE;CONSTRUCTEDAREA;ROOMNUMBER;BATHNUMBER;HASTERRACE;HASLIFT;HASAIRCONDITIONING;HASPARKINGSPACE;ISPARKINGSPACEINCLUDEDINPRICE;PARKINGSPACEPRICE;HASNORTHORIENTATION;HASSOUTHORIENTATION;HASEASTORIENTATION;HASWESTORIENTATION;HASBOXROOM;HASWARDROBE;HASSWIMMINGPOOL;HASDOORMAN;HASGARDEN;ISDUPLEX;ISSTUDIO;ISINTOPFLOOR;CONSTRUCTIONYEAR;FLOORCLEAN;CADCONSTRUCTIONYEAR;CADMAXBUILDINGFLOOR;CADDWELLINGCOUNT;CADASTRALQUALITYID;BUILTTYPEID_1;BUILTTYPEID_2;BUILTTYPEID_3;DISTANCE_TO_CITY_CENTER;DISTANCE_TO_METRO;DISTANCE_TO_CASTELLANA;alq_mediana_eur_m2_barrio;dist_centro_educativo_m;dist_parque_m;dist_espacio_deporte_m;dist_centro_medico_m;delitos_per_10k_barrio;indice_vulnerabilidad
A10000037964896093228;255000.0;2628.86597938144;97;3;2;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;;4;1966;7;8;6;0;0;1;7.829495166610736;0.254411703070073;3.027988419322015;9.24296971119612;175.9;350.9;96.0;577.2;50.13;0.0078
A10000072440601830803;82000.0;1322.58064516129;62;2;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;;1;1965;5;11;7;0;1;0;6.435241406034426;0.2684716770902403;4.693939144945466;8.141700434947378;104.5;342.6;272.1;287.3;60.46;0.0111
A10000538600815177437;133000.0;1985.07462686567;67;3;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1976;3;1976;5;17;7;0;0;1;4.836414939035593;1.0611461123449677;2.6232575349080447;8.735259397840522;220.5;509.8;246.1;287.4;197.46;0.0121
A10000654405436195291;204000.0;1133.33333333333;180;3;2;0;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;;0;1976;4;13;6;0;0;1;4.664783655044045;0.42797661250904695;3.1317387385946245;9.142390229587019;74.9;579.2;324.8;494.8;75.58;0.0084
A10000872160480475600;161000.0;2981.48148148148;54;2;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1955;1;1955;3;7;6;0;0;1;4.0631189605249185;0.3770452013718469;2.7022177788070154;7.982880733469616;79.3;315.3;50.5;369.0;126.85;0.0101
A10001362419935476012;210000.0;7500.0;28;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;6;1890;6;13;3;0;0;1;0.33569440483922236;0.25835207960308665;1.1555996223719052;12.512303709352325;393.5;412.6;584.4;331.2;1395.23;0.0079
A10001371118289901000;78000.0;1368.42105263158;57;3;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;;5;1965;6;25;6;0;1;0;7.269906582153821;0.28054929229992087;4.381209278942321;7.2685592634852405;245.9;132.2;146.8;229.0;75.28;0.0098
A10001425521130099891;387000.0;2976.92307692308;130;4;2;1;1;0;1;1;1;0;0;1;1;0;1;1;0;1;0;0;0;;2;1991;7;87;4;0;0;1;6.523380908034508;0.5491088086299903;5.30509626082993;8.59318199768477;334.2;520.8;304.7;32.9;122.72;0.0099
A10001703813508846172;260000.0;3095.2380952381;84;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;2002;1;2002;8;98;4;0;0;1;1.5601275785298239;0.33604056114175873;1.5792075239440382;11.808804071595276;245.3;305.5;397.1;211.3;70.98;0.0067
A10001980858746879564;270000.0;2700.0;100;3;2;0;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;;1;2005;7;203;4;0;0;1;9.170109275354228;0.17614932910702724;8.03270637737321;8.350464540754196;111.6;873.8;92.9;591.1;32.44;0.0067
