Día de creación;Hora de creación;Distrito;Barrio;Origen;Incidentes;Descripcíon tipo de apertura
2026-05-01;0;VILLAVERDE;BUTARQUE;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;0;SALAMANCA;GOYA;92;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-05-01;0;PUENTE DE VALLECAS;NUMANCIA;92;3;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;0;SALAMANCA;CASTELLANA;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;0;VICALVARO;VALDERRIVAS;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;0;VILLAVERDE;LOS ROSALES;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;0;CENTRO;SOL;92;1;INFRACCION A OTRAS OOMM Y NORMAS
2026-05-01;0;LATINA;LUCERO;92;1;INFRACCION A OTRAS OOMM Y NORMAS
2026-05-01;0;CARABANCHEL;ABRANTES;92;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-05-01;0;PUENTE DE VALLECAS;PALOMERAS SURESTE;92;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-05-01;0;USERA;SAN FERMIN;92;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-05-01;0;HORTALEZA;PIOVERA;92;1;RESOLUCION CONFLICTOS PRIVADOS
2026-05-01;0;LATINA;PUERTA DEL ANGEL;92;1;RESOLUCION CONFLICTOS PRIVADOS
2026-05-01;0;CIUDAD LINEAL;VENTAS;112;1;REYERTAS / AGRESIONES
2026-05-01;0;HORTALEZA;CANILLAS;112;1;REYERTAS / AGRESIONES
2026-05-01;0;MONCLOA - ARAVACA;CIUDAD UNIVERSITARIA;112;1;REYERTAS / AGRESIONES
2026-05-01;0;ARGANZUELA;ACACIAS;92;1;RUIDOS MOLESTOS
2026-05-01;0;ARGANZUELA;LEGAZPI;92;1;RUIDOS MOLESTOS
2026-05-01;0;CENTRO;UNIVERSIDAD;92;2;RUIDOS MOLESTOS
2026-05-01;0;CIUDAD LINEAL;LA CONCEPCION;92;2;RUIDOS MOLESTOS
2026-05-01;0;LATINA;PUERTA DEL ANGEL;92;1;RUIDOS MOLESTOS
2026-05-01;0;MONCLOA - ARAVACA;CASA DE CAMPO;92;1;RUIDOS MOLESTOS
2026-05-01;0;RETIRO;IBIZA;92;1;RUIDOS MOLESTOS
2026-05-01;0;RETIRO;NIÑO JESUS;92;1;RUIDOS MOLESTOS
2026-05-01;0;SALAMANCA;RECOLETOS;92;1;RUIDOS MOLESTOS
2026-05-01;0;SAN BLAS - CANILLEJAS;AMPOSTA;92;2;RUIDOS MOLESTOS
2026-05-01;0;TETUAN;VALDEACEDERAS;92;2;RUIDOS MOLESTOS
2026-05-01;0;USERA;MOSCARDO;92;1;RUIDOS MOLESTOS
2026-05-01;0;VILLA DE VALLECAS;CASCO HISTORICO DE VALLECAS;92;1;RUIDOS MOLESTOS
2026-05-01;0;CHAMARTIN;CASTILLA;92;1;SUCESOS: COLABORACIONES CON OTROS SERVICIOS
2026-05-01;0;CHAMARTIN;CASTILLA;112;1;SUCESOS: COLABORACIONES CON OTROS SERVICIOS
2026-05-01;0;CIUDAD LINEAL;VENTAS;112;1;VIOLENCIA DE GENERO Y FAMILIAR
2026-05-01;0;VILLAVERDE;ANGELES;112;1;VIOLENCIA DE GENERO Y FAMILIAR
2026-05-01;0;Desconocido;Desconocido;92;1;ACCIDENTE DE TRAFICO SIN HERIDOS
2026-05-01;0;VICALVARO;EL CAÑAVERAL;112;1;ACCIDENTE DE TRAFICO SIN HERIDOS
2026-05-01;0;CHAMBERI;RIOS ROSAS;112;1;ACTUACION DE BOMBEROS
2026-05-01;0;CENTRO;CORTES;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;0;FUENCARRAL - EL PARDO;PEÑAGRANDE;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;0;PUENTE DE VALLECAS;ENTREVIAS;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;0;CARABANCHEL;VISTA ALEGRE;92;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-05-01;0;CENTRO;PALACIO;112;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-05-01;0;CENTRO;UNIVERSIDAD;92;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-05-01;0;SAN BLAS - CANILLEJAS;ROSAS;92;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-05-01;0;CIUDAD LINEAL;PUEBLO NUEVO;92;1;ANOMALIAS EN VIA PUBLICA
2026-05-01;0;FUENCARRAL - EL PARDO;LA PAZ;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;0;MONCLOA - ARAVACA;ARGÜELLES;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;0;PUENTE DE VALLECAS;ENTREVIAS;92;1;INFRACCION A OTRAS OOMM Y NORMAS
2026-05-01;0;HORTALEZA;PINAR DEL REY;92;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-05-01;0;CHAMBERI;GAZTAMBIDE;92;1;NORMAS DE CONVIVENCIA
2026-05-01;0;HORTALEZA;CANILLAS;92;1;NORMAS DE CONVIVENCIA
2026-05-01;0;SAN BLAS - CANILLEJAS;ROSAS;112;1;NORMAS DE CONVIVENCIA
2026-05-01;0;SALAMANCA;GUINDALERA;92;2;NOTA INFORMATIVA
2026-05-01;0;CENTRO;UNIVERSIDAD;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-05-01;0;VILLAVERDE;LOS ROSALES;112;1;REYERTAS / AGRESIONES
2026-05-01;0;BARAJAS;ALAMEDA DE OSUNA;92;2;RUIDOS MOLESTOS
2026-05-01;0;BARAJAS;CORRALEJOS;92;1;RUIDOS MOLESTOS
2026-05-01;0;CIUDAD LINEAL;QUINTANA;92;1;RUIDOS MOLESTOS
2026-05-01;0;HORTALEZA;PINAR DEL REY;92;1;RUIDOS MOLESTOS
2026-05-01;0;PUENTE DE VALLECAS;PALOMERAS BAJAS;92;1;RUIDOS MOLESTOS
