Día de creación;Hora de creación;Distrito;Barrio;Origen;Incidentes;Descripción tipo de apertura
2026-01-01;00;CENTRO;EMBAJADORES;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-01-01;00;CIUDAD LINEAL;LA CONCEPCION;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-01-01;00;FUENCARRAL - EL PARDO;VALVERDE;092;2;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-01-01;00;PUENTE DE VALLECAS;ENTREVIAS;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-01-01;00;TETUAN;BERRUGUETE;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-01-01;00;USERA;ORCASITAS;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-01-01;00;VILLAVERDE;SAN CRISTOBAL;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-01-01;00;FUENCARRAL - EL PARDO;EL GOLOSO;112;1;ALTERACIONES DE TRAFICO Y MOVILIDAD
2026-01-01;00;LATINA;PUERTA DEL ANGEL;112;1;ALTERACIONES DE TRAFICO Y MOVILIDAD
2026-01-01;00;SALAMANCA;GUINDALERA;092;1;NOTA INFORMATIVA
2026-01-01;00;SALAMANCA;GUINDALERA;092;2;LLAMADA ERRONEA
2026-01-01;00;CARABANCHEL;COMILLAS;112;1;HURTOS
2026-01-01;00;CENTRO;CORTES;112;1;HURTOS
2026-01-01;00;CIUDAD LINEAL;VENTAS;112;1;OTROS DELITOS...
2026-01-01;00;SAN BLAS - CANILLEJAS;ROSAS;112;1;OTROS DELITOS...
2026-01-01;00;CARABANCHEL;BUENAVISTA;112;1;ROBOS CON FUERZA
2026-01-01;00;CENTRO;EMBAJADORES;112;1;ROBOS CON FUERZA
2026-01-01;00;SALAMANCA;GUINDALERA;112;1;ROBOS CON FUERZA
2026-01-01;00;VILLA DE VALLECAS;CASCO HISTORICO DE VALLECAS;112;1;ROBOS CON FUERZA
2026-01-01;00;CARABANCHEL;BUENAVISTA;112;1;REYERTAS / AGRESIONES
2026-01-01;00;CENTRO;JUSTICIA;112;1;REYERTAS / AGRESIONES
2026-01-01;00;FUENCARRAL - EL PARDO;PILAR;112;1;REYERTAS / AGRESIONES
2026-01-01;00;FUENCARRAL - EL PARDO;VALVERDE;112;1;REYERTAS / AGRESIONES
2026-01-01;00;LATINA;AGUILAS;092;1;REYERTAS / AGRESIONES
2026-01-01;00;VILLAVERDE;BUTARQUE;092;1;REYERTAS / AGRESIONES
2026-01-01;00;VILLAVERDE;SAN CRISTOBAL;112;1;REYERTAS / AGRESIONES
