nombre,familia,n_columnas,rmse_log_media,rmse_log_std,rmse_log_folds,tiempo_s,n_vars_por_fold
incluido,lineal,30.0,0.2276743482802639,0.0014334084184355,"[0.2271, 0.2302, 0.2262, 0.2283, 0.2266]",0.2,
desplegable,lineal,20.0,0.2321056883079058,0.0015651748671597,"[0.2309, 0.2349, 0.2305, 0.2325, 0.2318]",0.2,
stepwise_bic,lineal (diagnóstico),,0.2260698957097225,0.0014990829559596,"[0.2254, 0.2287, 0.2244, 0.2267, 0.2252]",56.7,"[25, 25, 25, 27, 27]"
arboles,random_forest,28.0,0.188023154748723,0.0022845308271549,"[0.1887, 0.1916, 0.1847, 0.1885, 0.1866]",16.8,
arboles_podado,random_forest,17.0,0.1888736960001444,0.0023779767824307,"[0.1887, 0.1928, 0.1857, 0.1898, 0.1873]",13.3,
arboles_completo,random_forest,36.0,0.1899441488437541,0.0024895760419714,"[0.1904, 0.1939, 0.1863, 0.1906, 0.1885]",27.1,
arboles_desplegable,random_forest,21.0,0.1917205981976529,0.0021448594023724,"[0.1911, 0.195, 0.1885, 0.1929, 0.1911]",13.6,
arboles_podado_desplegable,random_forest,13.0,0.1926319229658643,0.0022162789487986,"[0.1919, 0.1961, 0.1896, 0.194, 0.1916]",11.2,
arboles_completo_desplegable,random_forest,29.0,0.1934817813728894,0.0021087667433538,"[0.1929, 0.1966, 0.1903, 0.1947, 0.1929]",22.1,
arboles,xgboost,28.0,0.1944411173402415,0.0024228840756866,"[0.1955, 0.1987, 0.1924, 0.193, 0.1926]",1.1,
arboles_completo,xgboost,36.0,0.1951581270570628,0.0024174761565693,"[0.1954, 0.1994, 0.1929, 0.1953, 0.1928]",1.3,
arboles_desplegable,xgboost,21.0,0.199029641728297,0.0020354294976538,"[0.1983, 0.2027, 0.1968, 0.1995, 0.1978]",0.9,
arboles_completo_desplegable,xgboost,29.0,0.19986490380262548,0.0024018862907442483,"[0.2002, 0.2042, 0.197, 0.1992, 0.1987]",1.1,
